"AX","M","El","Z","E","J","Thalf","DThalf","Thalf_Seconds","Lambda_perSecond"
"81SE",81,"SE",34,103,"7/2+","57.28 M",2,3436.8,0.00029096834264432
"81SE",81,"SE",34,102.9,"7/2+","57.28 M",2,3436.8,0.00029096834264432
"81SE",81,"SE",34,103.01,"7/2+","57.28 M",2,3436.8,0.00029096834264432
"81KR",81,"KR",36,0,"7/2+","2.29E+5 Y",11,7226690400000,1.38375929318904e-13
"81KR",81,"KR",36,190.64,"1/2-","13.10 S",3,13.1,0.0763358778625954
"81KR",81,"KR",36,190.46,"1/2-","13.10 S",3,13.1,0.0763358778625954
"81KR",81,"KR",36,190.72,"1/2-","13.10 S",3,13.1,0.0763358778625954
"81KR",81,"KR",36,190.43,"1/2-","13.10 S",3,13.1,0.0763358778625954
"81RB",81,"RB",37,0,"3/2-","4.572 H",4,16459.2,6.07562943520949e-05
"81RB",81,"RB",37,86.31,"9/2+","30.5 M",3,1830,0.000546448087431694
"81SR",81,"SR",38,0,"1/2-","22.3 M",4,1338,0.000747384155455904
"81Y",81,"Y",39,0,"5/2+","70.4 S",10,70.4,0.0142045454545455
"81ZR",81,"ZR",40,0,"3/2-","5.5 S",4,5.5,0.181818181818182
"82ZN",82,"ZN",30,0,"0+","166 MS",11,0.166,6.02409638554217
"82GA",82,"GA",31,0,"2-","0.600 S",2,0.6,1.66666666666667
"82GE",82,"GE",32,0,"0+","4.0 S",7,4,0.25
"82GE",82,"GE",32,0,"0+","4.50 S",7,4.5,0.222222222222222
"82AS",82,"AS",33,0,"2-","19.1 S",5,19.1,0.0523560209424084
"82AS",82,"AS",33,131.6,"5-","13.6 S",4,13.6,0.0735294117647059
"82AS",82,"AS",33,NA,"5-","13.6 S",4,13.6,0.0735294117647059
"82SE",82,"SE",34,0,"0+","9.6E+19 Y",10,3.0295296e+27,3.30084248062802e-28
"82BR",82,"BR",35,0,"5-","35.282 H",7,127015.2,7.8730734589246e-06
"82BR",82,"BR",35,45.9492,"2-","6.13 M",5,367.8,0.00271886895051658
"82BR",82,"BR",35,45.949,"2-","6.13 M",5,367.8,0.00271886895051658
"82RB",82,"RB",37,0,"1+","1.2575 M",2,75.45,0.0132538104705103
"82RB",82,"RB",37,69,"5-","6.472 H",6,23299.2,4.29199285812388e-05
"82RB",82,"RB",37,68.3,"5-","6.472 H",6,23299.2,4.29199285812388e-05
"82SR",82,"SR",38,0,"0+","25.35 D",3,2190240,4.56570969391482e-07
"82Y",82,"Y",39,0,"1+","8.30 S",20,8.3,0.120481927710843
"82ZR",82,"ZR",40,0,"0+","32 S",5,32,0.03125
"82NB",82,"NB",41,0,"0+","50 MS",6,0.05,20
"83GE",83,"GE",32,0,"5/2+","1.85 S",6,1.85,0.54054054054054
"83AS",83,"AS",33,0,"5/2-","13.4 S",4,13.4,0.0746268656716418
"83SE",83,"SE",34,0,"9/2+","22.3 M",2,1338,0.000747384155455904
"83SE",83,"SE",34,228.92,"1/2-","70.1 S",4,70.1,0.014265335235378
"83SE",83,"SE",34,228.72,"1/2-","70.1 S",4,70.1,0.014265335235378
"83BR",83,"BR",35,0,"3/2-","2.374 H",4,8546.4,0.000117008330993167
"83KR",83,"KR",36,41.5575,"1/2-","1.83 H",2,6588,0.000151791135397693
"83KR",83,"KR",36,41.5567,"1/2-","1.83 H",2,6588,0.000151791135397693
"83KR",83,"KR",36,41.5573,"1/2-","1.83 H",2,6588,0.000151791135397693
"83RB",83,"RB",37,0,"5/2-","86.2 D",1,7447680,1.34270000859328e-07
"83RB",83,"RB",37,42.078,"9/2+","7.8 MS",7,0.0078,128.205128205128
"83SR",83,"SR",38,0,"7/2+","32.41 H",3,116676,8.57074291199561e-06
"83SR",83,"SR",38,259.15,"1/2-","4.95 S",12,4.95,0.202020202020202
"83SR",83,"SR",38,259.1,"1/2-","4.95 S",12,4.95,0.202020202020202
"83Y",83,"Y",39,0,"9/2+","7.08 M",8,424.8,0.00235404896421846
"83Y",83,"Y",39,62.04,"3/2-","2.85 M",2,171,0.00584795321637427
"83Y",83,"Y",39,62.02,"3/2-","2.85 M",2,171,0.00584795321637427
"83ZR",83,"ZR",40,0,"1/2-","42 S",2,42,0.0238095238095238
"83ZR",83,"ZR",40,0,"1/2-","41.6 S",24,41.6,0.0240384615384615
"83NB",83,"NB",41,0,"5/2+","3.9 S",2,3.9,0.256410256410256
"84ZN",84,"ZN",30,0,"0+","53.6 MS",81,0.0536,18.6567164179104
"84GA",84,"GA",31,0,"0-","95.2 MS",24,0.0952,10.5042016806723
"84GE",84,"GE",32,0,"0+","0.954 S",14,0.954,1.0482180293501
"84AS",84,"AS",33,0,"3-","4.2 S",5,4.2,0.238095238095238
"84SE",84,"SE",34,0,"0+","3.26 M",10,195.6,0.00511247443762781
"84BR",84,"BR",35,0,"2-","31.76 M",8,1905.6,0.000524769101595298
"84BR",84,"BR",35,320,"6-","6.0 M",2,360,0.00277777777777778
"84RB",84,"RB",37,0,"2-","32.82 D",7,2835648,3.52653079648814e-07
"84RB",84,"RB",37,463.59,"6-","20.26 M",4,1215.6,0.000822639025995393
"84RB",84,"RB",37,462.58,"6-","20.26 M",4,1215.6,0.000822639025995393
"84Y",84,"Y",39,0,"6+","39.5 M",8,2370,0.000421940928270042
"84Y",84,"Y",39,67,"1+","4.6 S",2,4.6,0.217391304347826
"84Y",84,"Y",39,66.9,"1+","4.6 S",2,4.6,0.217391304347826
"84ZR",84,"ZR",40,0,"0+","25.8 M",5,1548,0.000645994832041344
"84MO",84,"MO",42,0,"0+","2.3 S",3,2.3,0.434782608695652
"85GA",85,"GA",31,0,"5/2-","92 MS",4,0.092,10.8695652173913
"85AS",85,"AS",33,0,"3/2-","2.021 S",12,2.021,0.49480455220188
"85SE",85,"SE",34,0,"5/2+","32.9 S",3,32.9,0.0303951367781155
"85BR",85,"BR",35,0,"3/2-","2.90 M",6,174,0.00574712643678161
"85KR",85,"KR",36,0,"9/2+","10.739 Y",14,338897066.4,2.95074846950637e-09
"85KR",85,"KR",36,304.871,"1/2-","4.480 H",8,16128,6.20039682539683e-05
"85KR",85,"KR",36,304.87,"1/2-","4.480 H",8,16128,6.20039682539683e-05
"85KR",85,"KR",36,304.88,"1/2-","4.480 H",8,16128,6.20039682539683e-05
"85KR",85,"KR",36,304.9,"1/2-","4.480 H",8,16128,6.20039682539683e-05
"85SR",85,"SR",38,0,"9/2+","64.849 D",7,5602953.6,1.78477294546933e-07
"85SR",85,"SR",38,238.79,"1/2-","67.63 M",4,4057.8,0.000246438957070334
"85SR",85,"SR",38,238.78,"1/2-","67.63 M",4,4057.8,0.000246438957070334
"85SR",85,"SR",38,238.79,"1/2-","67.63 M",4,4057.8,0.000246438957070334
"85SR",85,"SR",38,238.7,"1/2-","67.63 M",4,4057.8,0.000246438957070334
"85SR",85,"SR",38,238.77,"1/2-","67.63 M",4,4057.8,0.000246438957070334
"85SR",85,"SR",38,234.3,"1/2-","67.63 M",4,4057.8,0.000246438957070334
"85Y",85,"Y",39,0,"1/2-","2.68 H",5,9648,0.000103648424543947
"85Y",85,"Y",39,19.68,"9/2+","4.86 H",20,17496,5.71559213534522e-05
"85Y",85,"Y",39,19.6,"9/2+","4.86 H",20,17496,5.71559213534522e-05
"85Y",85,"Y",39,0,"1/2-","2.68 H",5,9648,0.000103648424543947
"85Y",85,"Y",39,19.57,"9/2+","4.86 H",20,17496,5.71559213534522e-05
"85Y",85,"Y",39,19.8,"9/2+","4.86 H",20,17496,5.71559213534522e-05
"85ZR",85,"ZR",40,0,"7/2+","7.86 M",4,471.6,0.00212044105173876
"85ZR",85,"ZR",40,292.2,"1/2-","10.9 S",3,10.9,0.091743119266055
"85ZR",85,"ZR",40,292.2,"1/2-","10.9 S",3,10.9,0.091743119266055
"85NB",85,"NB",41,0,"9/2+","20.5 S",12,20.5,0.0487804878048781
"85MO",85,"MO",42,0,"1/2-","3.2 S",2,3.2,0.3125
"86GE",86,"GE",32,0,"0+","226 MS",21,0.226,4.42477876106195
"86SE",86,"SE",34,0,"0+","14.3 S",3,14.3,0.0699300699300699
"86BR",86,"BR",35,0,"1-","55.1 S",4,55.1,0.0181488203266788
"86RB",86,"RB",37,0,"2-","18.642 D",18,1610668.8,6.20860104821053e-07
"86RB",86,"RB",37,556.05,"6-","1.017 M",3,61.02,0.0163880694854146
"86RB",86,"RB",37,556.07,"6-","1.017 M",3,61.02,0.0163880694854146
"86RB",86,"RB",37,555.4,"6-","1.017 M",3,61.02,0.0163880694854146
"86Y",86,"Y",39,0,"4-","14.74 H",2,53064,1.88451680988994e-05
"86Y",86,"Y",39,218.21,"8+","47.4 M",4,2844,0.000351617440225035
"86Y",86,"Y",39,218.3,"8+","47.4 M",4,2844,0.000351617440225035
"86Y",86,"Y",39,218.3,"8+","47.4 M",4,2844,0.000351617440225035
"86Y",86,"Y",39,218.3,"8+","47.4 M",4,2844,0.000351617440225035
"86Y",86,"Y",39,218.27,"8+","47.2 M",4,2832,0.000353107344632768
"86ZR",86,"ZR",40,0,"0+","16.5 H",1,59400,1.68350168350168e-05
"86NB",86,"NB",41,0,"6+","88 S",1,88,0.0113636363636364
"86MO",86,"MO",42,0,"0+","19.1 S",3,19.1,0.0523560209424084
"86TC",86,"TC",43,0,"0+","55 MS",7,0.055,18.1818181818182
"87GE",87,"GE",32,0,"5/2+","0.14 S",NA,0.14,7.14285714285714
"87AS",87,"AS",33,0,"3/2-","484 MS",40,0.484,2.06611570247934
"87SE",87,"SE",34,0,"3/2+","5.50 S",14,5.5,0.181818181818182
"87BR",87,"BR",35,0,"5/2-","55.68 S",12,55.68,0.0179597701149425
"87BR",87,"BR",35,0,"5/2-","55.65 S",13,55.65,0.0179694519317161
"87KR",87,"KR",36,0,"5/2+","76.3 M",5,4578,0.000218435998252512
"87RB",87,"RB",37,0,"3/2-","4.97E+10 Y",3,1.56841272e+18,6.37587279960341e-19
"87RB",87,"RB",37,0,"3/2-","4.97E10 Y",3,1.56841272e+18,6.37587279960341e-19
"87SR",87,"SR",38,388.5287,"1/2-","2.815 H",12,10134,9.86777185711466e-05
"87SR",87,"SR",38,388.533,"1/2-","2.815 H",12,10134,9.86777185711466e-05
"87SR",87,"SR",38,388.5276,"1/2-","2.815 H",12,10134,9.86777185711466e-05
"87SR",87,"SR",38,388.54,"1/2-","2.815 H",12,10134,9.86777185711466e-05
"87SR",87,"SR",38,388.528,"1/2-","2.815 H",12,10134,9.86777185711466e-05
"87SR",87,"SR",38,388.42,"1/2-","2.815 H",12,10134,9.86777185711466e-05
"87Y",87,"Y",39,0,"1/2-","79.8 H",3,287280,3.48092453355611e-06
"87Y",87,"Y",39,380.82,"9/2+","13.37 H",3,48132,2.077619878667e-05
"87Y",87,"Y",39,380.79,"9/2+","13.37 H",3,48132,2.077619878667e-05
"87Y",87,"Y",39,380.8,"9/2+","13.37 H",3,48132,2.077619878667e-05
"87Y",87,"Y",39,380.8,"9/2+","13.37 H",3,48132,2.077619878667e-05
"87ZR",87,"ZR",40,0,"9/2+","1.68 H",1,6048,0.000165343915343915
"87ZR",87,"ZR",40,335.84,"1/2-","14.0 S",2,14,0.0714285714285714
"87NB",87,"NB",41,0,"1/2-","3.7 M",1,222,0.0045045045045045
"87NB",87,"NB",41,3.9,"9/2+","2.6 M",1,156,0.00641025641025641
"87MO",87,"MO",42,0,"7/2+","14.1 S",3,14.1,0.0709219858156028
"87MO",87,"MO",42,0,"7/2+","14.02 S",26,14.02,0.0713266761768902
"87TC",87,"TC",43,0,"9/2+","2.2 S",2,2.2,0.454545454545455
"88SE",88,"SE",34,0,"0+","1.53 S",6,1.53,0.65359477124183
"88BR",88,"BR",35,0,"2-","16.34 S",8,16.34,0.0611995104039168
"88KR",88,"KR",36,0,"0+","2.825 H",19,10170,9.83284169124877e-05
"88RB",88,"RB",37,0,"2-","17.773 M",18,1066.38,0.000937752020855605
"88Y",88,"Y",39,0,"4-","106.626 D",21,9212486.4,1.08548328494683e-07
"88Y",88,"Y",39,674.55,"8+","13.98 MS",17,0.01398,71.5307582260372
"88Y",88,"Y",39,674.6,"8+","13.4 MS",6,0.0134,74.6268656716418
"88Y",88,"Y",39,674.9,"8+","13.9 MS",3,0.0139,71.9424460431655
"88Y",88,"Y",39,675.2,"8+","13.5 MS",5,0.0135,74.0740740740741
"88Y",88,"Y",39,674,"8+","14.2 MS",3,0.0142,70.4225352112676
"88Y",88,"Y",39,674,"8+","14.5 MS",10,0.0145,68.9655172413793
"88ZR",88,"ZR",40,0,"0+","83.4 D",3,7205760,1.38777866595612e-07
"88NB",88,"NB",41,0,"8+","14.50 M",11,870,0.00114942528735632
"88NB",88,"NB",41,NA,"4-","7.7 M",1,462,0.00216450216450216
"88NB",88,"NB",41,NA,"4-","7.78 M",5,466.8,0.00214224507283633
"88MO",88,"MO",42,0,"0+","8.0 M",2,480,0.00208333333333333
"88RU",88,"RU",44,0,"0+","1.2 S",NA,1.2,0.833333333333333
"89SE",89,"SE",34,0,"5/2+","0.43 S",5,0.43,2.32558139534884
"89BR",89,"BR",35,0,"5/2-","4.357 S",22,4.357,0.229515721826945
"89KR",89,"KR",36,0,"3/2+","3.15 M",4,189,0.00529100529100529
"89RB",89,"RB",37,0,"3/2-","15.32 M",10,919.2,0.00108790252393386
"89SR",89,"SR",38,0,"5/2+","50.563 D",25,4368643.2,2.28904022191604e-07
"89Y",89,"Y",39,908.97,"9/2+","15.663 S",5,15.663,0.0638447296175701
"89Y",89,"Y",39,908.96,"9/2+","15.663 S",5,15.663,0.0638447296175701
"89Y",89,"Y",39,909.1,"9/2+","15.663 S",5,15.663,0.0638447296175701
"89Y",89,"Y",39,908.96,"9/2+","15.663 S",NA,15.663,0.0638447296175701
"89Y",89,"Y",39,909.1,"9/2+","15.663 S",NA,15.663,0.0638447296175701
"89Y",89,"Y",39,908,"9/2+","15.663 S",NA,15.663,0.0638447296175701
"89Y",89,"Y",39,908.95,"9/2+","15.663 S",5,15.663,0.0638447296175701
"89ZR",89,"ZR",40,0,"9/2+","78.41 H",12,282276,3.5426320338959e-06
"89ZR",89,"ZR",40,587.82,"1/2-","4.161 M",10,249.66,0.00400544740847553
"89ZR",89,"ZR",40,587.8,"1/2-","4.161 M",10,249.66,0.00400544740847553
"89ZR",89,"ZR",40,588,"1/2-","4.161 M",10,249.66,0.00400544740847553
"89ZR",89,"ZR",40,588,"1/2-","4.161 M",10,249.66,0.00400544740847553
"89ZR",89,"ZR",40,588,"1/2-","4.161 M",NA,249.66,0.00400544740847553
"89ZR",89,"ZR",40,588,"1/2-","4.161 M",NA,249.66,0.00400544740847553
"89NB",89,"NB",41,0,"9/2+","2.03 H",7,7308,0.000136836343732895
"89NB",89,"NB",41,35,"1/2-","66 M",2,3960,0.000252525252525253
"89MO",89,"MO",42,0,"9/2+","2.11 M",10,126.6,0.00789889415481833
"89MO",89,"MO",42,387.5,"1/2-","190 MS",15,0.19,5.26315789473684
"89MO",89,"MO",42,387.3,"1/2-","190 MS",15,0.19,5.26315789473684
"89MO",89,"MO",42,387.3,"1/2-","190 MS",15,0.19,5.26315789473684
"89TC",89,"TC",43,0,"9/2+","12.8 S",9,12.8,0.078125
"89TC",89,"TC",43,62.6,"1/2-","12.9 S",8,12.9,0.0775193798449612
"89RU",89,"RU",44,0,"9/2+","1.32 S",3,1.32,0.757575757575758
"90SE",90,"SE",34,0,"0+","195 MS",NA,0.195,5.12820512820513
"90KR",90,"KR",36,0,"0+","32.32 S",9,32.32,0.0309405940594059
"90RB",90,"RB",37,0,"0-","158 S",5,158,0.00632911392405063
"90RB",90,"RB",37,106.9,"3-","258 S",4,258,0.00387596899224806
"90SR",90,"SR",38,0,"0+","28.91 Y",3,912330216,1.09609435537976e-09
"90SR",90,"SR",38,0,"0+","28.81 Y",3,909174456,1.09989891752964e-09
"90Y",90,"Y",39,0,"2-","64.05 H",5,230580,4.33688958279122e-06
"90Y",90,"Y",39,682.01,"7+","3.19 H",6,11484,8.70776732845698e-05
"90Y",90,"Y",39,682.11,"7+","3.19 H",6,11484,8.70776732845698e-05
"90Y",90,"Y",39,682.1,"7+","3.19 H",6,11484,8.70776732845698e-05
"90Y",90,"Y",39,682.02,"7+","3.19 H",6,11484,8.70776732845698e-05
"90ZR",90,"ZR",40,2319,"5-","809.2 MS",20,0.8092,1.23578843302027
"90ZR",90,"ZR",40,2318.991,"5-","809.2 MS",20,0.8092,1.23578843302027
"90ZR",90,"ZR",40,2318.96,"5-","809.2 MS",20,0.8092,1.23578843302027
"90NB",90,"NB",41,0,"8+","14.60 H",5,52560,1.90258751902588e-05
"90NB",90,"NB",41,124.67,"4-","18.91 S",6,18.91,0.0528820729772607
"90NB",90,"NB",41,382.01,"1+","6.19 MS",8,0.00619,161.550888529887
"90NB",90,"NB",41,124.7,"4-","18.91 S",6,18.91,0.0528820729772607
"90NB",90,"NB",41,382,"1+","6.19 MS",8,0.00619,161.550888529887
"90NB",90,"NB",41,124.9,"4-","18.81 S",6,18.81,0.0531632110579479
"90MO",90,"MO",42,0,"0+","5.56 H",9,20016,4.99600319744205e-05
"90TC",90,"TC",43,0,"8+","49.2 S",4,49.2,0.0203252032520325
"90TC",90,"TC",43,144.1,"1+","8.7 S",2,8.7,0.114942528735632
"90TC",90,"TC",43,0,"8+","50.7 S",63,50.7,0.019723865877712
"90TC",90,"TC",43,144.1,"1+","8.7 S",2,8.7,0.114942528735632
"90RU",90,"RU",44,0,"0+","11.7 S",9,11.7,0.0854700854700855
"90RH",90,"RH",45,0,"0+","29 MS",3,0.029,34.4827586206897
"91KR",91,"KR",36,0,"5/2+","8.57 S",4,8.57,0.116686114352392
"91RB",91,"RB",37,0,"3/2-","58.2 S",3,58.2,0.0171821305841924
"91RB",91,"RB",37,0,"3/2-","58.4 S",4,58.4,0.0171232876712329
"91SR",91,"SR",38,0,"5/2+","9.65 H",6,34740,2.87852619458837e-05
"91Y",91,"Y",39,0,"1/2-","58.51 D",6,5055264,1.97813605778056e-07
"91Y",91,"Y",39,555.58,"9/2+","49.71 M",4,2982.6,0.000335277945416751
"91Y",91,"Y",39,555.57,"9/2+","49.71 M",4,2982.6,0.000335277945416751
"91Y",91,"Y",39,0,"1/2-","58.51 D",NA,5055264,1.97813605778056e-07
"91Y",91,"Y",39,555.57,"9/2+","49.71 M",NA,2982.6,0.000335277945416751
"91NB",91,"NB",41,0,"9/2+","6.8E+2 Y",13,21459168000,4.66001291382779e-11
"91NB",91,"NB",41,104.6,"1/2-","60.86 D",22,5258304,1.90175387349229e-07
"91NB",91,"NB",41,104.62,"1/2-","60.86 D",22,5258304,1.90175387349229e-07
"91NB",91,"NB",41,104.61,"1/2-","60.86 D",22,5258304,1.90175387349229e-07
"91NB",91,"NB",41,104.5,"1/2-","60.86 D",22,5258304,1.90175387349229e-07
"91MO",91,"MO",42,0,"9/2+","15.49 M",1,929.4,0.00107596298687325
"91MO",91,"MO",42,653.01,"1/2-","64.6 S",6,64.6,0.0154798761609907
"91MO",91,"MO",42,652.9,"1/2-","64.6 S",6,64.6,0.0154798761609907
"91MO",91,"MO",42,652.99,"1/2-","64.6 S",6,64.6,0.0154798761609907
"91MO",91,"MO",42,652.94,"1/2-","64.6 S",6,64.6,0.0154798761609907
"91TC",91,"TC",43,0,"9/2+","3.14 M",2,188.4,0.00530785562632696
"91TC",91,"TC",43,139.3,"1/2-","3.3 M",1,198,0.00505050505050505
"91RU",91,"RU",44,0,"9/2+","8.0 S",4,8,0.125
"91RU",91,"RU",44,NA,"1/2-","7.6 S",8,7.6,0.131578947368421
"91RH",91,"RH",45,0,"9/2+","1.47 S",22,1.47,0.680272108843537
"91RH",91,"RH",45,172.9,"1/2-","1.46 S",11,1.46,0.684931506849315
"91RH",91,"RH",45,0,"9/2+","1.60 S",15,1.6,0.625
"92KR",92,"KR",36,0,"0+","1.840 S",8,1.84,0.543478260869565
"92RB",92,"RB",37,0,"0-","4.48 S",3,4.48,0.223214285714286
"92SR",92,"SR",38,0,"0+","2.611 H",17,9399.6,0.000106387505851313
"92Y",92,"Y",39,0,"2-","3.54 H",1,12744,7.84682988072819e-05
"92NB",92,"NB",41,0,"7+","3.47E+7 Y",24,1.09504872e+15,9.13201377925906e-16
"92NB",92,"NB",41,135.5,"2+","10.15 D",2,876960,1.1403028644408e-06
"92TC",92,"TC",43,0,"8+","4.25 M",15,255,0.00392156862745098
"92RU",92,"RU",44,0,"0+","3.65 M",5,219,0.0045662100456621
"92RH",92,"RH",45,NA,"2+","0.53 S",37,0.53,1.88679245283019
"92PD",92,"PD",46,0,"0+","1.0 S",NA,1,1
"93BR",93,"BR",35,0,"5/2-","102 MS",10,0.102,9.80392156862745
"93KR",93,"KR",36,0,"1/2+","1.286 S",10,1.286,0.777604976671851
"93RB",93,"RB",37,0,"5/2-","5.84 S",2,5.84,0.171232876712329
"93SR",93,"SR",38,0,"5/2+","7.43 M",3,445.8,0.00224315836698071
"93SR",93,"SR",38,0,"5/2+","7.423 M",24,445.38,0.00224527369886389
"93Y",93,"Y",39,0,"1/2-","10.18 H",8,36648,2.72866186422179e-05
"93Y",93,"Y",39,758.719,"9/2+","0.82 S",4,0.82,1.21951219512195
"93Y",93,"Y",39,758.739,"9/2+","0.82 S",4,0.82,1.21951219512195
"93Y",93,"Y",39,758.7,"9/2+","0.82 S",4,0.82,1.21951219512195
"93ZR",93,"ZR",40,0,"5/2+","1.61E+6 Y",5,5.0807736e+13,1.96820421205149e-14
"93ZR",93,"ZR",40,0,"5/2+","1.61E6 Y",5,5.0807736e+13,1.96820421205149e-14
"93NB",93,"NB",41,30.77,"1/2-","16.12 Y",12,508708512,1.96576227134175e-09
"93MO",93,"MO",42,0,"5/2+","4.0E+3 Y",8,126230400000,7.92202195350724e-12
"93MO",93,"MO",42,2424.95,"21/2+","6.85 H",7,24660,4.0551500405515e-05
"93MO",93,"MO",42,2424.895,"21/2+","6.85 H",7,24660,4.0551500405515e-05
"93MO",93,"MO",42,2424.6,"21/2+","6.85 H",7,24660,4.0551500405515e-05
"93TC",93,"TC",43,0,"9/2+","2.75 H",5,9900,0.000101010101010101
"93TC",93,"TC",43,391.84,"1/2-","43.5 M",10,2610,0.000383141762452107
"93TC",93,"TC",43,0,"9/2+","2.85 H",5,10260,9.74658869395711e-05
"93TC",93,"TC",43,391.83,"1/2-","43.5 M",10,2610,0.000383141762452107
"93RU",93,"RU",44,0,"9/2+","59.7 S",6,59.7,0.016750418760469
"93RU",93,"RU",44,734.4,"1/2-","10.8 S",3,10.8,0.0925925925925926
"93RU",93,"RU",44,734.4,"1/2-","10.8 S",3,10.8,0.0925925925925926
"93RH",93,"RH",45,0,"9/2+","12.2 S",7,12.2,0.0819672131147541
"93PD",93,"PD",46,0,"9/2+","1.00 S",9,1,1
"94KR",94,"KR",36,0,"0+","212 MS",5,0.212,4.71698113207547
"94RB",94,"RB",37,0,"3-","2.702 S",5,2.702,0.370096225018505
"94SR",94,"SR",38,0,"0+","75.3 S",2,75.3,0.0132802124833997
"94Y",94,"Y",39,0,"2-","18.7 M",1,1122,0.00089126559714795
"94NB",94,"NB",41,0,"6+","2.03E+4 Y",16,640619280000,1.56098954748911e-12
"94NB",94,"NB",41,40.892,"3+","6.263 M",4,375.78,0.00266113151311938
"94NB",94,"NB",41,40.892,"3+","6.263 M",4,375.78,0.00266113151311938
"94TC",94,"TC",43,0,"7+","293 M",1,17580,5.68828213879408e-05
"94TC",94,"TC",43,76,"2+","52.0 M",10,3120,0.000320512820512821
"94RU",94,"RU",44,0,"0+","51.8 M",6,3108,0.000321750321750322
"94RH",94,"RH",45,0,"4+","70.6 S",6,70.6,0.0141643059490085
"94RH",94,"RH",45,NA,"8+","25.8 S",2,25.8,0.0387596899224806
"94PD",94,"PD",46,0,"0+","9.0 S",5,9,0.111111111111111
"94AG",94,"AG",47,0,"0+","26 MS",NA,0.026,38.4615384615385
"94AG",94,"AG",47,NA,"7+","0.55 S",6,0.55,1.81818181818182
"94AG",94,"AG",47,6670,"21+","0.40 S",4,0.4,2.5
"95KR",95,"KR",36,0,"1/2+","0.114 S",3,0.114,8.7719298245614
"95KR",95,"KR",36,0,"1/2+","0.114 S",3,0.114,8.7719298245614
"95KR",95,"KR",36,0,"1/2","0.114 S",3,0.114,8.7719298245614
"95RB",95,"RB",37,0,"5/2-","377.7 MS",8,0.3777,2.6476039184538
"95SR",95,"SR",38,0,"1/2+","23.90 S",14,23.9,0.0418410041841004
"95Y",95,"Y",39,0,"1/2-","10.3 M",1,618,0.00161812297734628
"95ZR",95,"ZR",40,0,"5/2+","64.032 D",6,5532364.8,1.80754530142336e-07
"95NB",95,"NB",41,0,"9/2+","34.991 D",6,3023222.4,3.30772886572949e-07
"95NB",95,"NB",41,235.69,"1/2-","3.61 D",3,311904,3.20611470195958e-06
"95NB",95,"NB",41,0,"9/2+","34.991 D",8,3023222.4,3.30772886572949e-07
"95NB",95,"NB",41,235.69,"1/2-","3.61 D",3,311904,3.20611470195958e-06
"95TC",95,"TC",43,0,"9/2+","20.0 H",1,72000,1.38888888888889e-05
"95TC",95,"TC",43,38.91,"1/2-","61 D",2,5270400,1.89738919247116e-07
"95TC",95,"TC",43,38.9,"1/2-","61 D",2,5270400,1.89738919247116e-07
"95RU",95,"RU",44,0,"5/2+","1.643 H",13,5914.8,0.000169067424088727
"95RH",95,"RH",45,0,"9/2+","5.02 M",10,301.2,0.00332005312084993
"95RH",95,"RH",45,543.3,"1/2-","1.96 M",4,117.6,0.00850340136054422
"95PD",95,"PD",46,0,"9/2+","5 S",3,5,0.2
"95PD",95,"PD",46,1875.13,"21/2+","13.3 S",3,13.3,0.075187969924812
"95PD",95,"PD",46,0,"9/2+","5 S",3,5,0.2
"95PD",95,"PD",46,1875.11,"21/2+","13.3 S",3,13.3,0.075187969924812
"95PD",95,"PD",46,1875.6,"21/2+","13.3 S",3,13.3,0.075187969924812
"95PD",95,"PD",46,1875.7,"21/2+","13.3 S",3,13.3,0.075187969924812
"95AG",95,"AG",47,0,"9/2+","1.75 S",12,1.75,0.571428571428571
"95AG",95,"AG",47,344.2,"1/2-","500 MS",NA,0.5,2
"95AG",95,"AG",47,2531.3,"23/2+","16 MS",NA,0.016,62.5
"95AG",95,"AG",47,4860,"37/2+","40 MS",NA,0.04,25
"95AG",95,"AG",47,0,"9/2+","1.85 S",34,1.85,0.54054054054054
"95AG",95,"AG",47,0,"9/2+","1.85 MS",34,0.00185,540.540540540541
"95AG",95,"AG",47,2531.41,"23/2+","16 MS",NA,0.016,62.5
"95AG",95,"AG",47,2531.31,"23/2+","16 MS",NA,0.016,62.5
"95AG",95,"AG",47,4860.03,"37/2+","40 MS",NA,0.04,25
"96KR",96,"KR",36,0,"0+","80 MS",8,0.08,12.5
"96RB",96,"RB",37,0,"2-","203 MS",3,0.203,4.92610837438424
"96SR",96,"SR",38,0,"0+","1.07 S",1,1.07,0.934579439252336
"96Y",96,"Y",39,0,"0-","5.34 S",5,5.34,0.187265917602996
"96Y",96,"Y",39,1140,"8+","9.6 S",2,9.6,0.104166666666667
"96ZR",96,"ZR",40,0,"0+","2.0E+19 Y",4,6.31152e+26,1.58440439070145e-27
"96NB",96,"NB",41,0,"6+","23.35 H",5,84060,1.18962645729241e-05
"96TC",96,"TC",43,0,"7+","4.28 D",7,369792,2.70422291450329e-06
"96TC",96,"TC",43,34.23,"4+","51.5 M",10,3090,0.000323624595469256
"96TC",96,"TC",43,34.2,"4+","51.5 M",10,3090,0.000323624595469256
"96RH",96,"RH",45,0,"6+","9.90 M",10,594,0.00168350168350168
"96RH",96,"RH",45,51.98,"3+","1.51 M",2,90.6,0.011037527593819
"96RH",96,"RH",45,52,"3+","1.51 M",2,90.6,0.011037527593819
"96RH",96,"RH",45,52,"3+","1.51 M",2,90.6,0.011037527593819
