"AX","M","El","Z","E","DE","J","Thalf","DThalf"
"7LI",7,"LI","3",0,NA,"3/2-",NA,NA
"7LI",7,"LI","3",477.612,3,"1/2-","72.8 FS",20
"8BE",8,"BE","4",3030,10,"2+","1513 KEV",15
"8BE",8,"BE","4",16626,3,"2+",NA,NA
"9B",9,"B","5",0,NA,"3/2-","0.54 KEV",21
"9B",9,"B","5",2345,11,"5/2-","81 KEV",5
"9B",9,"B","5",2780,16,"1/2-","3.13 MEV",20
"9B",9,"B","5",12160,40,"5/2-","455 KEV",20
"9B",9,"B","5",14010,70,NA,"0.39 MEV",11
"9B",9,"B","5",14655,25,"3/2-","377 EV",38
"10B",10,"B","5",718.38,11,"1+",NA,NA
"10B",10,"B","5",1740.05,4,"0+",NA,NA
"11B",11,"B","5",0,NA,"3/2-",NA,NA
"12C",12,"C","6",0,NA,"0+",NA,NA
"12C",12,"C","6",4438.91,31,"2+",NA,NA
"12C",12,"C","6",7654.2,15,"0+",NA,NA
"12C",12,"C","6",10300,3,"(0+)",NA,NA
"12C",12,"C","6",12710,6,NA,NA,NA
"12C",12,"C","6",15110,3,NA,NA,NA
"13C",13,"C","6",0,NA,"1/2-","STABLE",NA
"13N",13,"N","7",0,NA,"1/2-",NA,NA
"13N",13,"N","7",3502,2,"3/2-",NA,NA
"13N",13,"N","7",7376,9,"5/2-",NA,NA
"13N",13,"N","7",8918,11,"1/2-",NA,NA
"13N",13,"N","7",9476,8,"3/2-",NA,NA
"13N",13,"N","7",10360,NA,"5/2-",NA,NA
"14N",14,"N","7",0,NA,"1+",NA,NA
"14N",14,"N","7",2312.798,11,"0+",NA,NA
"14N",14,"N","7",3948.1,20,"1+",NA,NA
"15N",15,"N","7",0,NA,"1/2-",NA,NA
"17O",17,"O","8",0,NA,"5/2+",NA,NA
"17O",17,"O","8",870.73,10,"1/2+",NA,NA
"17F",17,"F","9",0,NA,"5/2+",NA,NA
"17F",17,"F","9",495.33,10,"1/2+",NA,NA
"17F",17,"F","9",3104,3,"1/2-",NA,NA
"17F",17,"F","9",4640,20,"3/2-",NA,NA
"17F",17,"F","9",5488,11,"3/2-",NA,NA
"17F",17,"F","9",6037,9,"1/2-",NA,NA
"17F",17,"F","9",8075,10,"(1/2,3/2)-",NA,NA
"17F",17,"F","9",8200,NA,"3/2(-)",NA,NA
"17F",17,"F","9",8436,10,"(1/2,3/2)-",NA,NA
"17F",17,"F","9",9450,50,NA,NA,NA
"17F",17,"F","9",10030,60,NA,NA,NA
"17F",17,"F","9",10660,20,NA,NA,NA
"17F",17,"F","9",10910,10,"1/2-",NA,NA
"17F",17,"F","9",11192.9,23,"1/2-",NA,NA
"17F",17,"F","9",12250,40,"3/2-",NA,NA
"18O",18,"O","8",0,NA,"0+","STABLE",NA
"18F",18,"F","9",0,NA,"1+","109.77 M",5
"18F",18,"F","9",1041.55,8,"0+",NA,NA
"18F",18,"F","9",1080.54,12,"0-",NA,NA
"18F",18,"F","9",1700.81,18,"1+",NA,NA
"19F",19,"F","9",0,NA,"1/2+",NA,NA
"19F",19,"F","9",109.894,5,"1/2-",NA,NA
"19F",19,"F","9",1554.038,9,"3/2+",NA,NA
"20NE",20,"NE","10",1633.674,15,"2+",NA,NA
"20NE",20,"NE","10",7421.9,12,"2+",NA,NA
"20NE",20,"NE","10",7829,24,"2+",NA,NA
"20NE",20,"NE","10",8800,NA,"2+",NA,NA
"20NE",20,"NE","10",9487,5,"2+",NA,NA
"20NE",20,"NE","10",9873,4,"3+",NA,NA
"20NE",20,"NE","10",10274,3,"2+",NA,NA
"20NE",20,"NE","10",10584,5,"2+",NA,NA
"20NE",20,"NE","10",10843,4,"2+",NA,NA
"20NE",20,"NE","10",10884,3,"3+",NA,NA
"20NE",20,"NE","10",11262.3,19,"1+",NA,NA
"20NE",20,"NE","10",11320,9,"2+",NA,NA
"20NE",20,"NE","10",11885,7,"2+",NA,NA
"20NE",20,"NE","10",1633.674,15,"2+",NA,NA
"20NE",20,"NE","10",4966.51,20,"2-",NA,NA
"20NE",20,"NE","10",6706,47,NA,NA,NA
"20NE",20,"NE","10",7421.9,12,"2+",NA,NA
"20NE",20,"NE","10",7833.4,15,"2+",NA,NA
"20NE",20,"NE","10",8058,8,"2+",NA,NA
"20NE",20,"NE","10",9196,30,"2+",NA,NA
"20NE",20,"NE","10",9483,3,"2+",NA,NA
"20NE",20,"NE","10",9873,4,"3+",NA,NA
"20NE",20,"NE","10",10274,3,"2+",NA,NA
"20NE",20,"NE","10",10578,4,"2+",NA,NA
"20NE",20,"NE","10",10840,4,"2+",NA,NA
"20NE",20,"NE","10",10884,3,"3+",NA,NA
"20NE",20,"NE","10",10941,9,"2+",NA,NA
"20NE",20,"NE","10",11116,9,"2+",NA,NA
"20NE",20,"NE","10",11262.3,19,"1+",NA,NA
"20NE",20,"NE","10",11295,5,"2+",NA,NA
"20NE",20,"NE","10",11856,8,"2+",NA,NA
"21NE",21,"NE","10",0,NA,"3/2+","STABLE",NA
"21NE",21,"NE","10",350.727,8,"5/2+",NA,NA
"21NE",21,"NE","10",2794.14,5,"1/2+",NA,NA
"22NE",22,"NE","10",0,NA,"0+","STABLE",NA
"22NE",22,"NE","10",1274.53,7,"2+",NA,NA
"22MG",22,"MG","12",5293.11,16,"(4+)",NA,NA
"22MG",22,"MG","12",5451.8,6,"(3+)",NA,NA
"22MG",22,"MG","12",6221,8,"(4+)",NA,NA
"22MG",22,"MG","12",6307,8,"4+",NA,NA
"22MG",22,"MG","12",6476,8,NA,NA,NA
"22MG",22,"MG","12",6724,8,NA,NA,NA
"22MG",22,"MG","12",6865,8,"(3+)",NA,NA
"22MG",22,"MG","12",7052,8,NA,NA,NA
"22MG",22,"MG","12",7132,8,"(5+)",NA,NA
"22MG",22,"MG","12",7254,8,NA,NA,NA
"22MG",22,"MG","12",7573,8,NA,NA,NA
"22MG",22,"MG","12",8004,9,NA,NA,NA
"22MG",22,"MG","12",8339,9,NA,NA,NA
"22MG",22,"MG","12",8416,8,NA,NA,NA
"22MG",22,"MG","12",8589,8,NA,NA,NA
"22MG",22,"MG","12",8985,8,NA,NA,NA
"22MG",22,"MG","12",9518,8,NA,NA,NA
"22MG",22,"MG","12",9725,10,NA,NA,NA
"22MG",22,"MG","12",9965,8,NA,NA,NA
"22MG",22,"MG","12",10413,10,NA,NA,NA
"22MG",22,"MG","12",10678,12,NA,NA,NA
"22MG",22,"MG","12",11309,49,NA,NA,NA
"22MG",22,"MG","12",11410,8,NA,NA,NA
"22MG",22,"MG","12",13018,56,NA,NA,NA
"22MG",22,"MG","12",14012,3,NA,NA,NA
"22AL",22,"AL","13",1850,NA,"1+",NA,NA
"22AL",22,"AL","13",2210,NA,"1+",NA,NA
"23MG",23,"MG","12",0,NA,"3/2+",NA,NA
"23MG",23,"MG","12",450.71,15,"5/2+",NA,NA
"23MG",23,"MG","12",2050.9,14,"7/2+",NA,NA
"23MG",23,"MG","12",7802.2,14,NA,NA,NA
"23MG",23,"MG","12",7854,2,NA,NA,NA
"23MG",23,"MG","12",8015,6,NA,NA,NA
"23MG",23,"MG","12",8164,2,NA,NA,NA
"23MG",23,"MG","12",8453,5,NA,NA,NA
"23MG",23,"MG","12",9596,7,NA,NA,NA
"23AL",23,"AL","13",0,NA,"5/2+","470 MS",30
"23AL",23,"AL","13",1773,35,"(3/2)+",NA,NA
"23AL",23,"AL","13",3197,19,"(3/2)+",NA,NA
"23AL",23,"AL","13",3718,31,"(5/2)+",NA,NA
"23AL",23,"AL","13",4200,40,"(7/2)+",NA,NA
"23AL",23,"AL","13",11780,40,"(5/2)+",NA,NA
"24MG",24,"MG","12",4122.889,12,"4+",NA,NA
"24MG",24,"MG","12",5235.12,4,"3+",NA,NA
"24MG",24,"MG","12",6010.84,4,"4+",NA,NA
"24MG",24,"MG","12",7812.35,11,"5+",NA,NA
"24MG",24,"MG","12",8439.36,4,"4+",NA,NA
"24MG",24,"MG","12",9301.15,8,"4+",NA,NA
"24MG",24,"MG","12",9457.81,4,"(2,3)+",NA,NA
"24MG",24,"MG","12",9516.28,4,"4+",NA,NA
"24MG",24,"MG","12",10576.02,7,"4+",NA,NA
"24MG",24,"MG","12",10820.7,4,"3+,4+",NA,NA
"24MG",24,"MG","12",11216.79,19,"4+",NA,NA
"24MG",24,"MG","12",11314.4,15,"(3,4)+",NA,NA
"24MG",24,"MG","12",11695.6,6,"4+",NA,NA
"24MG",24,"MG","12",12049.1,20,"4+",NA,NA
"24MG",24,"MG","12",12119.5,18,"4+",NA,NA
"24MG",24,"MG","12",12160.6,16,"4+",NA,NA
"24MG",24,"MG","12",12972,3,"4+",NA,NA
"24MG",24,"MG","12",0,NA,"0+","STABLE",NA
"24MG",24,"MG","12",1368.672,5,"2+",NA,NA
"24MG",24,"MG","12",4238.24,3,"2+",NA,NA
"24MG",24,"MG","12",9828.11,11,"1+",NA,NA
"24MG",24,"MG","12",9967.19,22,"1+",NA,NA
"24MG",24,"MG","12",10058.54,16,"(1,2)+",NA,NA
"24MG",24,"MG","12",10679.7,4,"0+",NA,NA
"24MG",24,"MG","12",10916.96,17,"2+",NA,NA
"24MG",24,"MG","12",11015.8,7,"2+",NA,NA
"24MG",24,"MG","12",11457,3,"0+",NA,NA
"24MG",24,"MG","12",11518.2,6,"2+",NA,NA
"24MG",24,"MG","12",12403.12,20,"2+",NA,NA
"24MG",24,"MG","12",12468,3,"2+",NA,NA
"24AL",24,"AL","13",3000,30,"1+",NA,NA
"24AL",24,"AL","13",3370,34,"1+",NA,NA
"24AL",24,"AL","13",4400,44,"1+",NA,NA
"24AL",24,"AL","13",4670,47,"1+",NA,NA
"24AL",24,"AL","13",4970,50,"1+",NA,NA
"24AL",24,"AL","13",5430,54,"1+",NA,NA
"24AL",24,"AL","13",5760,58,"1+",NA,NA
"24AL",24,"AL","13",5960,60,"0+",NA,NA
"24AL",24,"AL","13",6250,62,"1+",NA,NA
"24AL",24,"AL","13",6530,65,"1+",NA,NA
"25MG",25,"MG","12",0,NA,"5/2+","STABLE",NA
"25MG",25,"MG","12",974.749,24,"3/2+",NA,NA
"25MG",25,"MG","12",1611.767,11,"7/2+",NA,NA
"25AL",25,"AL","13",0,NA,"5/2+","7.183 S",12
"25AL",25,"AL","13",945,NA,"3/2+",NA,NA
"25AL",25,"AL","13",1613,NA,"7/2+",NA,NA
"25AL",25,"AL","13",2672,1,"3/2+",NA,NA
"25AL",25,"AL","13",3844,7,"5/2+",NA,NA
"25AL",25,"AL","13",4189,2,"3/2+",NA,NA
"25AL",25,"AL","13",4582,2,"5/2+",NA,NA
"25AL",25,"AL","13",4908,6,"5/2+,7/2+",NA,NA
"25AL",25,"AL","13",5597,6,NA,"56 KEV",20
"25AL",25,"AL","13",5802,4,"5/2+",NA,NA
"25AL",25,"AL","13",6170,2,"3/2+",NA,NA
"25AL",25,"AL","13",6620,9,"5/2+",NA,NA
"25AL",25,"AL","13",6871,8,NA,NA,NA
"25AL",25,"AL","13",7107,3,"3/2+","33 KEV",5
"25AL",25,"AL","13",7255,7,"5/2+",NA,NA
"25AL",25,"AL","13",7678,7,"(3/2,5/2,7/2)+",NA,NA
"25AL",25,"AL","13",7892,2,"(3/2,5/2,7/2)+",NA,NA
"25AL",25,"AL","13",8193,6,"(3/2,5/2,7/2)+","20 KEV",20
"25AL",25,"AL","13",9073,7,"(3/2,5/2,7/2)+",NA,NA
"26MG",26,"MG","12",1808.72,7,"2+","476 FS",12
"26MG",26,"MG","12",2938.41,13,"2+","141 FS",8
"26MG",26,"MG","12",0,NA,"0+","STABLE",NA
"26AL",26,"AL","13",228.305,13,"0+","6.3460 S",8
"26AL",26,"AL","13",1057.739,12,"1+",NA,NA
"26AL",26,"AL","13",1850.62,3,"1+",NA,NA
"26AL",26,"AL","13",2071.64,4,"1+",NA,NA
"26AL",26,"AL","13",2740.03,3,"1+",NA,NA
"26AL",26,"AL","13",3723.81,4,"1+",NA,NA
"26SI",26,"SI","14",1797.27,10,"2+",NA,NA
"26SI",26,"SI","14",2786.31,14,"2+",NA,NA
"26SI",26,"SI","14",3756.95,16,"(3+)",NA,NA
"26SI",26,"SI","14",3842.2,15,"(4+)",NA,NA
"26SI",26,"SI","14",4139.18,15,"2+",NA,NA
"26SI",26,"SI","14",4186.85,25,"(3+)",NA,NA
"26SI",26,"SI","14",5928.5,8,"(3+)",NA,NA
"26SI",26,"SI","14",6295,6,"2+",NA,NA
"26SI",26,"SI","14",6384,5,"(2+)",NA,NA
"26SI",26,"SI","14",6765,5,NA,NA,NA
"26SI",26,"SI","14",7501,5,"2+",NA,NA
"26SI",26,"SI","14",7606,6,NA,NA,NA
"26SI",26,"SI","14",7962,5,NA,NA,NA
"26SI",26,"SI","14",8156,21,"(1-,2+)",NA,NA
"26SI",26,"SI","14",8254,5,NA,NA,NA
"26SI",26,"SI","14",8563,17,NA,NA,NA
"26SI",26,"SI","14",9370,15,NA,NA,NA
"26SI",26,"SI","14",9433,4,NA,NA,NA
"26SI",26,"SI","14",9725,7,NA,NA,NA
"26SI",26,"SI","14",10299,6,NA,NA,NA
"26SI",26,"SI","14",10405,5,NA,NA,NA
"26SI",26,"SI","14",10688,9,NA,NA,NA
"26SI",26,"SI","14",10827,8,NA,NA,NA
"26SI",26,"SI","14",13015,4,"(3+)",NA,NA
"27AL",27,"AL","13",0,NA,"5/2+",NA,NA
"27AL",27,"AL","13",843.77,10,"1/2+",NA,NA
"27AL",27,"AL","13",1014.54,10,"3/2+",NA,NA
"27AL",27,"AL","13",2212.11,10,"(7/2+)",NA,NA
"27AL",27,"AL","13",2734.9,6,"5/2+",NA,NA
"27AL",27,"AL","13",2982.18,5,"3/2+",NA,NA
"27AL",27,"AL","13",3004.2,9,"(9/2+)",NA,NA
"27SI",27,"SI","14",6626,3,"1/2+",NA,NA
"27SI",27,"SI","14",8175,3,"(1/2,3/2)+",NA,NA
"27SI",27,"SI","14",8327,2,"(1/2,3/2)+",NA,NA
"27SI",27,"SI","14",8450,2,"(1/2,3/2)+",NA,NA
"27SI",27,"SI","14",9066,4,"(1/2,3/2)+",NA,NA
"27P",27,"P","15",12752,50,NA,NA,NA
"28SI",28,"SI","14",1779.03,11,"2+",NA,NA
"28SI",28,"SI","14",4617.53,14,"4+",NA,NA
"28SI",28,"SI","14",6276.4,15,"3+",NA,NA
"28SI",28,"SI","14",7415.9,5,"2+",NA,NA
"28SI",28,"SI","14",7799.21,15,"3+",NA,NA
"28SI",28,"SI","14",7933.52,21,"2+",NA,NA
"28SI",28,"SI","14",8259,4,"2(+)",NA,NA
"28SI",28,"SI","14",8588.8,17,"3+",NA,NA
"28SI",28,"SI","14",9315.78,19,"3+",NA,NA
"28SI",28,"SI","14",9381.2,4,"2+",NA,NA
"28SI",28,"SI","14",9479.1,9,"(2+)",NA,NA
"28SI",28,"SI","14",9795.8,10,"(2+)",NA,NA
"28SI",28,"SI","14",10208.8,15,"(3+)",NA,NA
"28SI",28,"SI","14",10667.99,23,"(2 TO 4)+",NA,NA
"28SI",28,"SI","14",11515,1,"(2+)",NA,NA
"28SI",28,"SI","14",11657,1,"(2+)",NA,NA
"28SI",28,"SI","14",11931,1,"5",NA,NA
"28SI",28,"SI","14",12071,1,"(2+)",NA,NA
"28SI",28,"SI","14",12289,1,"(2+)",NA,NA
"28SI",28,"SI","14",12443,1,"(2+)",NA,NA
"28SI",28,"SI","14",12550,1,"(4+)",NA,NA
"28SI",28,"SI","14",12573,1,"(2+)",NA,NA
"28SI",28,"SI","14",12714,1,"(0+,1+)",NA,NA
"28SI",28,"SI","14",12725,1,"(2+)",NA,NA
"28SI",28,"SI","14",12899,1,"(4+)",NA,NA
"28SI",28,"SI","14",13093,4,"(4+)",NA,NA
"28P",28,"P","15",5900,2,"0+",NA,NA
"29SI",29,"SI","14",0,NA,"1/2+","STABLE",NA
"29SI",29,"SI","14",1273.391,9,"3/2+",NA,NA
"29SI",29,"SI","14",2028.17,7,"5/2+",NA,NA
"29SI",29,"SI","14",2425.98,3,"3/2+",NA,NA
"29P",29,"P","15",1383.55,7,"3/2+",NA,NA
"29P",29,"P","15",1953.91,17,"5/2+",NA,NA
"29P",29,"P","15",2422.7,3,"3/2+",NA,NA
"29P",29,"P","15",3105.9,3,"5/2+",NA,NA
"29P",29,"P","15",4080.5,3,"7/2+",NA,NA
"29P",29,"P","15",4954.1,5,"(5/2+)",NA,NA
"29P",29,"P","15",5293,5,"(7/2+)",NA,NA
"29P",29,"P","15",5826,4,NA,NA,NA
"29P",29,"P","15",5968,3,"3/2+",NA,NA
"29P",29,"P","15",6328,5,"(1/2,3/2)",NA,NA
"29P",29,"P","15",6505,15,NA,NA,NA
"29P",29,"P","15",6828,5,"(3/2+,5/2+)",NA,NA
"29P",29,"P","15",7148,10,NA,NA,NA
"29P",29,"P","15",7272,5,"(5/2+)",NA,NA
"29P",29,"P","15",7361,10,NA,NA,NA
"29P",29,"P","15",7523,5,"(3/2+)",NA,NA
"29P",29,"P","15",7755,5,"(5/2+)",NA,NA
"29P",29,"P","15",8106,11,"(5/2+)",NA,NA
"29P",29,"P","15",8234,9,"(3/2+)",NA,NA
"29P",29,"P","15",8379,3,"(5/2+)",NA,NA
"29P",29,"P","15",8432,15,"(5/2+)",NA,NA
"29P",29,"P","15",8532,10,"(3/2+,5/2+)",NA,NA
"29P",29,"P","15",8810,30,NA,NA,NA
"29P",29,"P","15",8865,12,"(1/2+,3/2+)",NA,NA
"29P",29,"P","15",9389,12,"(3/2+)",NA,NA
"29P",29,"P","15",9715,50,"(3/2+,5/2+)",NA,NA
"29P",29,"P","15",9855,30,"(3/2+,5/2+)",NA,NA
"29P",29,"P","15",10095,30,NA,NA,NA
"29P",29,"P","15",10535,30,"(3/2+)",NA,NA
"30SI",30,"SI","14",0,NA,"0+","STABLE",NA
"30SI",30,"SI","14",2235.32,2,"2+",NA,NA
"30SI",30,"SI","14",3498.55,4,"2+",NA,NA
"30SI",30,"SI","14",3769.52,4,"1+",NA,NA
"30SI",30,"SI","14",3787.71,5,"0+",NA,NA
"30P",30,"P","15",0,NA,"1+","2.498 M",4
"30P",30,"P","15",677.01,3,"0+",NA,NA
"30P",30,"P","15",708.7,3,"1+",NA,NA
"30P",30,"P","15",3019.2,1,"1+",NA,NA
"31P",31,"P","15",0,NA,"1/2+",NA,NA
"31P",31,"P","15",1266.13,12,"3/2+",NA,NA
"31P",31,"P","15",3134.3,4,"1/2+",NA,NA
"31P",31,"P","15",3506.1,6,"3/2+",NA,NA
"31P",31,"P","15",4260.4,10,"3/2+",NA,NA
"31P",31,"P","15",4592.5,10,"3/2+",NA,NA
"31S",31,"S","16",0,NA,"1/2+",NA,NA
"31S",31,"S","16",1248.8,2,"3/2+",NA,NA
"31S",31,"S","16",2234.4,2,"5/2+",NA,NA
"31S",31,"S","16",3077.26,20,"1/2+",NA,NA
"31S",31,"S","16",3284.2,2,"(5/2)+",NA,NA
"31S",31,"S","16",3435.6,4,"3/2+",NA,NA
"31S",31,"S","16",4209.1,2,"(1/2,3/2,5/2)+",NA,NA
"31S",31,"S","16",4520.5,3,"3/2+",NA,NA
"31S",31,"S","16",4720.2,4,"(1/2,3/2,5/2)+",NA,NA
"31S",31,"S","16",4867.5,4,"(1/2-,3/2-)",NA,NA
"31S",31,"S","16",5157.5,3,"1/2+",NA,NA
"31S",31,"S","16",5408.2,9,NA,NA,NA
"31S",31,"S","16",5774,3,"3/2+,5/2+",NA,NA
"31S",31,"S","16",5786.2,8,"(1/2+,3/2+,5/2+)",NA,NA
"31S",31,"S","16",6255.3,5,"1/2+",NA,NA
"31S",31,"S","16",6280.5,2,"3/2+",NA,NA
"31S",31,"S","16",6420.7,6,"(1/2+,3/2+,5/2+)",NA,NA
"31S",31,"S","16",6936,2,"(1/2+,3/2+,5/2+)",NA,NA
"31S",31,"S","16",7037,2,"3/2+,5/2+",NA,NA
"31S",31,"S","16",7157,2,"3/2+,5/2+",NA,NA
"31S",31,"S","16",7280,10,NA,NA,NA
"31S",31,"S","16",7355,3,"(1/2+,3/2+,5/2+)",NA,NA
"31S",31,"S","16",7416.8,10,NA,NA,NA
"31S",31,"S","16",7521,17,NA,NA,NA
"31S",31,"S","16",7631.8,7,"(1/2+,3/2+,5/2+)",NA,NA
"31S",31,"S","16",7644.5,8,"(1/2+,3/2+,5/2+)",NA,NA
"31S",31,"S","16",7701,3,"(1/2+,3/2+,5/2+)",NA,NA
"31S",31,"S","16",7778,17,"(1/2+,3/2+,5/2+)",NA,NA
"31S",31,"S","16",7894,3,"(1/2+,3/2+,5/2+)",NA,NA
"31S",31,"S","16",8022,3,"(1/2+,3/2+,5/2+)",NA,NA
"31S",31,"S","16",8122,17,"(1/2+,3/2+,5/2+)",NA,NA
"31S",31,"S","16",8270,17,"(1/2+,3/2+,5/2+)",NA,NA
"31S",31,"S","16",8429,3,"(1/2+,3/2+,5/2+)",NA,NA
"31S",31,"S","16",8499,17,"1/2+",NA,NA
"31S",31,"S","16",8702,17,"(1/2+,3/2+,5/2+)",NA,NA
"31S",31,"S","16",8860,17,"(1/2+,3/2+,5/2+)",NA,NA
"31S",31,"S","16",9031,17,"(1/2+,3/2+,5/2+)",NA,NA
"31CL",31,"CL","17",0,NA,"3/2+",NA,NA
"31CL",31,"CL","17",1746,5,"(3/2,5/2,7/2)+",NA,NA
"31CL",31,"CL","17",2436,5,"(3/2,5/2,7/2)+",NA,NA
"31CL",31,"CL","17",2611,5,"(3/2,5/2,7/2)",NA,NA
"31CL",31,"CL","17",2687,6,"(3/2,5/2,7/2)+",NA,NA
"31CL",31,"CL","17",3641,6,"(3/2,5/2,7/2)",NA,NA
"31CL",31,"CL","17",4044,5,"(3/2,5/2,7/2)+",NA,NA
"31CL",31,"CL","17",5382,5,"(3/2,5/2,7/2)+",NA,NA
"31CL",31,"CL","17",5617,5,"(3/2,5/2,7/2)+",NA,NA
"31CL",31,"CL","17",5756,5,"(3/2,5/2,7/2)+",NA,NA
"31CL",31,"CL","17",6526,5,"(3/2,5/2,7/2)+",NA,NA
"31CL",31,"CL","17",6660,5,"(3/2,5/2,7/2)+",NA,NA
"31CL",31,"CL","17",6833,14,"(3/2,5/2,7/2)",NA,NA
"31CL",31,"CL","17",7378,6,"(3/2,5/2,7/2)+",NA,NA
"31CL",31,"CL","17",7488,6,"(3/2,5/2,7/2)+",NA,NA
"31CL",31,"CL","17",7594,10,"(3/2,5/2,7/2)",NA,NA
"31CL",31,"CL","17",9447,6,"(3/2,5/2,7/2)+",NA,NA
"31CL",31,"CL","17",12314,5,"5/2+",NA,NA
"31CL",31,"CL","17",12539,30,"(3/2,5/2,7/2)+",NA,NA
"32S",32,"S","16",0,NA,"0+",NA,NA
"32S",32,"S","16",2230.5,15,"2+",NA,NA
"32S",32,"S","16",3778.7,25,"0+",NA,NA
"32S",32,"S","16",4281.5,15,"2+",NA,NA
"32S",32,"S","16",4694.2,15,"1+",NA,NA
"32S",32,"S","16",5548.7,20,"2+",NA,NA
"32S",32,"S","16",6664,25,"2+",NA,NA
"32S",32,"S","16",7000.5,25,"1+",NA,NA
"32S",32,"S","16",7112,4,"2+",NA,NA
"32S",32,"S","16",7194,3,"1+",NA,NA
"32S",32,"S","16",8693,NA,"2+",NA,NA
"32S",32,"S","16",8861,NA,"2+",NA,NA
"32S",32,"S","16",9232,NA,"1-",NA,NA
"32S",32,"S","16",9464,NA,"2+",NA,NA
"32S",32,"S","16",9651,NA,"2+",NA,NA
"32S",32,"S","16",9711,NA,"2+",NA,NA
"32S",32,"S","16",9888,NA,"1+",NA,NA
"32S",32,"S","16",9950,NA,"1-",NA,NA
"32S",32,"S","16",9984,NA,"0+",NA,NA
"32S",32,"S","16",10232,NA,"1+",NA,NA
"32S",32,"S","16",10290,NA,"2",NA,NA
"32S",32,"S","16",10460,NA,NA,NA,NA
"32S",32,"S","16",10532,NA,"2+",NA,NA
"32S",32,"S","16",10781,NA,"2+",NA,NA
"32S",32,"S","16",10793,NA,"2+",NA,NA
"32S",32,"S","16",11064,NA,"2+",NA,NA
"32CL",32,"CL","17",0,NA,"1+","298 MS",1
"32CL",32,"CL","17",1168.55,13,"1+",NA,NA
"32CL",32,"CL","17",2210.2,11,"(1+)",NA,NA
"32CL",32,"CL","17",3772,5,"1+","3 KEV",2
"32CL",32,"CL","17",4087,5,NA,"17 KEV",2
"32CL",32,"CL","17",4167,20,"1+","35 KEV",20
"32CL",32,"CL","17",4439,20,"1+",NA,NA
"32CL",32,"CL","17",4796,10,"(1+)",NA,NA
"32CL",32,"CL","17",5046.3,3,"0+","20 EV",5
"32CL",32,"CL","17",5302,5,"1+",NA,NA
"32CL",32,"CL","17",5427,5,"1+",NA,NA
"32CL",32,"CL","17",5695,5,"1+","25 KEV",15
"32CL",32,"CL","17",5794,5,"1+",NA,NA
"32CL",32,"CL","17",6063,5,"1+",NA,NA
"32CL",32,"CL","17",6259,8,"1+",NA,NA
"32CL",32,"CL","17",6528,5,"1+",NA,NA
"32CL",32,"CL","17",6599,5,"1+",NA,NA
"32CL",32,"CL","17",6738,5,"1+",NA,NA
"32CL",32,"CL","17",7330,5,"1+","20 KEV",10
"32CL",32,"CL","17",7467,10,"1+","15 KEV",NA
"32CL",32,"CL","17",7507,5,NA,NA,NA
"32CL",32,"CL","17",7608,5,"1+",NA,NA
"32CL",32,"CL","17",7861,8,"1+",NA,NA
"32CL",32,"CL","17",8186,10,"1+",NA,NA
"33S",33,"S","16",0,NA,"3/2+",NA,NA
"33S",33,"S","16",840.9,5,"1/2+",NA,NA
"33S",33,"S","16",1966.6,7,"5/2+",NA,NA
"33S",33,"S","16",2312.7,7,"3/2+",NA,NA
"33S",33,"S","16",2867.5,7,"5/2+",NA,NA
"33S",33,"S","16",3832,8,"5/2+",NA,NA
"33S",33,"S","16",3935.2,8,"3/2+",NA,NA
"33S",33,"S","16",4053.2,8,"1/2+",NA,NA
"33S",33,"S","16",4144.3,10,"(3/2+,5/2)",NA,NA
"33S",33,"S","16",4375.5,8,"1/2+",NA,NA
"33S",33,"S","16",4424.7,8,"(1/2+,3/2)",NA,NA
"33S",33,"S","16",4746.3,8,"(1/2,3/2,5/2+)",NA,NA
"33CL",33,"CL","17",0,NA,"3/2+","2.511 S",3
"33CL",33,"CL","17",810.63,20,"1/2+",NA,NA
"33CL",33,"CL","17",2352.3,4,"3/2+",NA,NA
"33CL",33,"CL","17",3971,1,"3/2+","2 KEV",NA
"33CL",33,"CL","17",4113,2,"3/2(+)","3 KEV",NA
"33CL",33,"CL","17",4441,2,"1/2+","2 KEV",1
"33CL",33,"CL","17",4466,2,"3/2+","2 KEV",NA
"33CL",33,"CL","17",4835,2,"3/2+","2 KEV",NA
"33CL",33,"CL","17",5106,2,"3/2+","10 KEV",NA
"33CL",33,"CL","17",5300,2,"(3/2)+","10 KEV",NA
"33CL",33,"CL","17",5548,1,"1/2+","0.8 KEV",NA
"33CL",33,"CL","17",5732,3,"1/2+","30 KEV",10
"33CL",33,"CL","17",5869,3,"1/2+,3/2+","1.4 KEV",5
"33CL",33,"CL","17",6255,2,"1/2+","2 KEV",1
"33CL",33,"CL","17",6314,2,"1/2,3/2",NA,NA
"33CL",33,"CL","17",6593,5,"1/2,3/2",NA,NA
"33CL",33,"CL","17",6949,2,"1/2+,3/2+",NA,NA
"33CL",33,"CL","17",7142,5,"1/2,3/2",NA,NA
"33CL",33,"CL","17",7289,4,"(3/2)+","10 KEV",5
"33CL",33,"CL","17",7404,10,"1/2,3/2",NA,NA
"33CL",33,"CL","17",7482,2,"1/2+","6.5 KEV",20
"33CL",33,"CL","17",7540,4,"1/2+,3/2+","4 KEV",NA
"33CL",33,"CL","17",7551,2,"1/2+,3/2+","10 KEV",NA
